system,r_A,U,force_column
H2O,2.485885301,2.153966672,16.82413276
H2O,2.505928731,1.843446553,14.15515328
H2O,2.52597216,1.58674921,11.45351748
H2O,2.54601559,1.367152297,10.66161944
H2O,2.56605902,1.16109844,9.846731486
H2O,2.58610245,0.9745277949,8.717519871
H2O,2.60614588,0.8137404856,7.273984593
H2O,2.62618931,0.6850366366,5.516125653
H2O,2.646232739,0.5815086721,5.031931868
H2O,2.666276169,0.484711759,4.578646806
H2O,2.686319599,0.3998948335,3.836528917
H2O,2.706363029,0.3328470961,2.805578199
H2O,2.726406459,0.2893577474,1.485794654
H2O,2.746449889,0.2658536235,1.076825967
H2O,2.766493318,0.2466795349,0.8074763962
H2O,2.786536748,0.2346450203,0.3644155646
H2O,2.806580178,0.2332318491,-0.2523565276
H2O,2.826623608,0.2459217908,-1.042839881
H2O,2.846667038,0.2709501716,-1.28546226
H2O,2.866710468,0.2968740772,-1.301840799
H2O,2.886753898,0.3231581135,-1.321397301
H2O,2.906797327,0.3498659778,-1.344131765
H2O,2.926840757,0.3770613674,-1.370044191
H2O,2.946884187,0.4050509149,-1.430137375
H2O,2.966927617,0.4341593619,-1.467110528
H2O,2.986971047,0.4635705512,-1.46034602
H2O,3.007014477,0.4924078303,-1.40984385
H2O,3.027057906,0.5197945462,-1.315604018
H2O,3.047101336,0.5431444786,-0.9266314163
H2O,3.067144766,0.5571143183,-0.4853876799
H2O,3.087188196,0.5633261988,-0.1525164723
H2O,3.107231626,0.5639522771,0.07198220653
H2O,3.127275056,0.5611647106,0.1881083565
H2O,3.147318486,0.557036157,0.2202134182
H2O,3.167361915,0.5522167304,0.264321511
H2O,3.187405345,0.5462945606,0.3302487881
H2O,3.207448775,0.5388323164,0.4179952495
H2O,3.227492205,0.5293926666,0.5275608951
H2O,3.247535635,0.5179729254,0.5817977758
H2O,3.267579065,0.5061829877,0.5984405582
H2O,3.287622494,0.4938310252,0.6378784758
H2O,3.307665924,0.4804601452,0.7001115285
H2O,3.327709354,0.465613455,0.7851397164
H2O,3.347752784,0.4491145489,0.8380755467
H2O,3.367796214,0.4322081156,0.8499450089
H2O,3.387839644,0.4150012126,0.8680574077
H2O,3.407883073,0.3973687101,0.892412743
H2O,3.427926503,0.3791854783,0.923011015
H2O,3.447969933,0.3603961845,0.9447532869
H2O,3.468013363,0.3414117387,0.9490889221
H2O,3.488056793,0.3223697865,0.9504914664
H2O,3.508100223,0.3033291171,0.9489609198
H2O,3.528143653,0.2843485197,0.9444972823
H2O,3.548187082,0.265469995,0.9410003281
H2O,3.568230512,0.2466204906,0.939246767
H2O,3.588273942,0.2278433578,0.933778845
H2O,3.608317372,0.2092130452,0.9245965619
H2O,3.628360802,0.1908040013,0.9116999179
H2O,3.648404232,0.1727491329,0.8802128935
H2O,3.668447661,0.1556094586,0.832115294
H2O,3.688491091,0.1393090812,0.7964650604
H2O,3.708534521,0.1235985128,0.7732621927
H2O,3.728577951,0.1082282656,0.7625066909
H2O,3.748621381,0.09296276196,0.7598300753
H2O,3.768664811,0.07780870191,0.7521610068
H2O,3.788708241,0.06281625508,0.7437037702
H2O,3.80875167,0.04800121908,0.7344583655
H2O,3.8287951,0.0333793915,0.7244247929
H2O,3.84883853,0.01896985049,0.7125014207
H2O,3.86888196,0.004835321111,0.6979789478
H2O,3.88892539,-0.009013544773,0.6839969686
H2O,3.90896882,-0.02258758051,0.670555483
H2O,3.929012249,-0.03589761945,0.657654491
H2O,3.949055679,-0.04894551454,0.6416814877
H2O,3.969099109,-0.06154685864,0.6160187591
H2O,3.989142539,-0.07365164902,0.5921337074
