system,max_abs_residual,rmse_residual,relative_l2_residual
CO$_2$,1.804733741519321e-05,1.1075757722720199e-05,0.0011820950416665263
H$_2$O,4.357729760359915e-06,1.8339445239184018e-06,0.000722816015090476
