timestamp_utc,system,iteration,optimization_step,total_iterations,loss,vacf_mse,vacf_rmse,vacf_mae,vacf_max_abs_error,optimizer_name,learning_rate,iteration_wall_seconds,elapsed_wall_seconds,device,natom,filter_length,target_vacf_length,filter_shape,filter_min,filter_max,filter_mean,filter_std,filter_l2_norm,filter_grad_shape,filter_grad_min,filter_grad_max,filter_grad_mean,filter_grad_std,filter_grad_l2_norm,memory_kernel_shape,memory_kernel_min,memory_kernel_max,memory_kernel_mean,memory_kernel_std,memory_kernel_l2_norm
2026-06-13T19:37:23.004511+00:00,H2O,0,0,300,10.308691024780273,0.010308691300451756,0.1015317291021347,0.0725223645567894,0.28826889395713806,Adam,0.0003,15.492156982421875,15.49216103553772,cuda:0,2141,1000,1000,1000,0.0012999982573091984,0.0013000001199543476,0.0012999999989988281,6.802869556832042e-11,0.041109609550529155,1000,-0.8659746050834656,-0.0017491511534899473,-0.5413309494091664,0.22555849089923857,18.544967770394518,1000,6.176003921609663e-07,0.0006176033639349043,0.0003091098917336126,0.00017828678557517,0.011284285669828299
2026-06-13T19:37:37.898902+00:00,H2O,1,1,300,9.212915420532227,0.009212915785610676,0.09598393738269806,0.08118535578250885,0.2281460464000702,Adam,0.0003,14.611303329467773,30.386573553085327,cuda:0,2141,1000,1000,1000,0.0011658858275040984,0.0016004074132069945,0.0013630188883980736,0.00017947503294129995,0.04347449571391486,1000,-0.3808165490627289,1.1344536542892456,0.4293651502458379,0.5611740063323687,22.34436612725347,1000,1.0437430546517135e-06,0.001043745200149715,0.000522394468990683,0.0003013031383064264,0.019070384432028607
2026-06-13T19:37:53.777534+00:00,H2O,2,2,300,10.419694900512695,0.010419695638120174,0.10207691043615341,0.08627822250127792,0.25955092906951904,Adam,0.0003,15.672091722488403,46.265212535858154,cuda:0,2141,1000,1000,1000,0.0009555850410833955,0.001899257185868919,0.001375510836718604,0.00039747917833591565,0.04527714389336974,1000,-0.5782254934310913,1.2970322370529175,0.39222877777717075,0.675570162612206,24.70300505461746,1000,1.194942342408467e-06,0.0011672844411805272,0.0005742788987840868,0.00033245860261402394,0.02098392184604043
2026-06-13T19:38:08.881251+00:00,H2O,3,3,300,10.078540802001953,0.01007854100316763,0.1003919392824173,0.08080337941646576,0.29170718789100647,Adam,0.0003,14.904818058013916,61.36889290809631,cuda:0,2141,1000,1000,1000,0.0007174104684963822,0.0021980879828333855,0.0013706828802241943,0.0006313952138608494,0.04772244203963247,1000,-0.7635118365287781,1.1796067953109741,0.2590218660265673,0.6795912571362624,22.998621781661843,1000,1.219406840391457e-06,0.001266092760488391,0.0005848922203376787,0.00035720715022887454,0.021672467731806023
2026-06-13T19:38:24.506027+00:00,H2O,4,4,300,8.389124870300293,0.00838912557810545,0.09159217029809952,0.06381155550479889,0.2958374619483948,Adam,0.0003,15.375134229660034,76.99370789527893,cuda:0,2141,1000,1000,1000,0.00046684578410349786,0.0024989002849906683,0.001350741745554842,0.0008722803652212834,0.05084659574381668,1000,-0.702881395816803,1.1692616939544678,0.300611103374511,0.6416092827215762,22.406014976932788,1000,1.184367761197791e-06,0.0014065420255064964,0.0005808682291138893,0.0003992199710601312,0.022288662698492202
2026-06-13T19:38:40.358547+00:00,H2O,5,5,300,6.524956703186035,0.006524956785142422,0.08077720552682877,0.05191763862967491,0.28794407844543457,Adam,0.0003,15.654035329818726,92.84621739387512,cuda:0,2141,1000,1000,1000,0.0002180430747102946,0.002801640424877405,0.0013298719261510997,0.001111418190971509,0.05480702268128801,1000,-0.6697304248809814,0.9882072806358337,0.1545855820872821,0.548386189410825,18.017328184994277,1000,1.098282609746093e-06,0.0015967292711138725,0.0005642052554878774,0.00046453724841984877,0.023111088799310717
2026-06-13T19:38:55.275544+00:00,H2O,6,6,300,4.898810863494873,0.004898811224848032,0.06999150663614273,0.045574869960546494,0.21773450076580048,Adam,0.0003,14.588669300079346,107.76322913169861,cuda:0,2141,1000,1000,1000,-1.9229239114793018e-05,0.00310350488871336,0.0013002294432501885,0.0013337358122419024,0.058902018827466866,1000,-0.43386539816856384,1.0319597721099854,0.22757242078869602,0.48881102243397756,17.05067219661963,1000,1.0572750852588797e-06,0.0018551541725173593,0.0005470589734645727,0.0005597213528671729,0.024749980066730768
2026-06-13T19:39:11.115623+00:00,H2O,7,7,300,6.116728782653809,0.006116729229688644,0.0782095193862915,0.06145879998803139,0.22661209106445312,Adam,0.0003,15.635215520858765,123.60330653190613,cuda:0,2141,1000,1000,1000,-0.00022390027879737318,0.0034073209390044212,0.0012812302966477204,0.0015232794441487768,0.06294387450748652,1000,-0.8761367797851562,1.1566978693008423,0.020732861326308923,0.6606659361920783,20.902376199449932,1000,1.0639245147103793e-06,0.0021427313331514597,0.0005231278690949921,0.0006694206328139381,0.026866089240171902
2026-06-13T19:39:26.447235+00:00,H2O,8,8,300,5.93840217590332,0.005938402377068996,0.07706102728843689,0.060543812811374664,0.1931953728199005,Adam,0.0003,15.130467891693115,138.93488597869873,cuda:0,2141,1000,1000,1000,-0.00041970302117988467,0.0037118757609277964,0.0012627238679748984,0.0016845146227258676,0.06657372665647283,1000,-0.9016396403312683,1.2379883527755737,0.08048403021832928,0.6835714780406646,21.76574475433551,1000,-8.374227036256343e-05,0.002446889877319336,0.0005081346763457475,0.0007786024694810148,0.029401065538291842
2026-06-13T19:39:41.759725+00:00,H2O,9,9,300,6.983827590942383,0.0069838277995586395,0.08356929570436478,0.06791515648365021,0.1697208732366562,Adam,0.0003,15.06431531906128,154.2473955154419,cuda:0,2141,1000,1000,1000,-0.0005885819555260241,0.004018875304609537,0.0012493299007944074,0.001812641068787514,0.06961675692873164,1000,-1.5107414722442627,1.481716275215149,-0.014900853098137304,0.9187132409591887,29.05608463879448,1000,-0.00021859785192646086,0.0027372422628104687,0.0004937416873069936,0.0008790246594909426,0.03188205146752518
2026-06-13T19:39:57.568004+00:00,H2O,10,10,300,7.915339469909668,0.007915339432656765,0.0889681950211525,0.07272735238075256,0.17971625924110413,Adam,0.0003,15.6041419506073,170.05568194389343,cuda:0,2141,1000,1000,1000,-0.0007655502413399518,0.004330800846219063,0.0012385309904519204,0.0019240975468010676,0.07236097279553186,1000,-1.6039313077926636,1.683793067932129,0.02810167497675866,0.9943876933963925,31.457854168946383,1000,-0.00032696142443455756,0.002993196714669466,0.0004834796746293364,0.00095936028120512,0.033972411526614586
2026-06-13T19:40:12.446663+00:00,H2O,11,11,300,7.545342445373535,0.007545342668890953,0.0868639349937439,0.06799476593732834,0.16946068406105042,Adam,0.0003,14.673956394195557,184.93433690071106,cuda:0,2141,1000,1000,1000,-0.0009419041452929378,0.004645470064133406,0.0012215564066784168,0.002020753910744406,0.07467025125500713,1000,-1.5148104429244995,1.8253638744354248,0.16798489142488687,0.9963263693366512,31.951293525968303,1000,-0.0004181266704108566,0.003233822528272867,0.0004753037028235667,0.001027340780136312,0.035795847363191156
2026-06-13T19:40:28.223674+00:00,H2O,12,12,300,8.964666366577148,0.008964667096734047,0.09468192607164383,0.07289008051156998,0.19239184260368347,Adam,0.0003,15.533250093460083,200.7113585472107,cuda:0,2141,1000,1000,1000,-0.0010929476702585816,0.004963587503880262,0.0012038615467224645,0.002100618390971575,0.07656291692565671,1000,-2.105531930923462,2.153982400894165,0.0805733444034122,1.2707569924335758,40.26556093794271,1000,-0.0004924096865579486,0.0034435216803103685,0.0004625133796551211,0.0010797814330020098,0.03714628607836691
