iteration,loss,learning_rate,vacf_rmse,full_vacf_rmse,regularization,memory_second_diff,filter_first_diff,filter_second_diff,filter_tail,filter_norm
11,0.0008788522637840495,0.003,0.029645442546604856,0.02966027639419143,0.0,0.00023306209905485676,1.53683902452577e-06,8.772402800842002e-07,0.0,0.9781144994635266
12,0.0008861544038833929,0.003,0.029768345669240553,0.029783241014515554,0.0,0.00023019971450111653,1.5390266983288155e-06,8.772457510765875e-07,0.0,0.9769759990383335
13,0.0008628827376564781,0.003,0.02937486574703752,0.02938956420467338,0.0,0.0002291339661929816,1.5410556384903865e-06,8.7725149805786e-07,0.0,0.9774322421751991
14,0.0008252975902403801,0.003,0.028727993146761575,0.028742367925317747,0.0,0.00022956125958892507,1.5422102105340213e-06,8.772561995157003e-07,0.0,0.9785222968976875
15,0.0008071700806767427,0.003,0.028410738826660998,0.028424954858987522,0.0,0.0002305829467503489,1.5423947014401823e-06,8.772598794995304e-07,0.0,0.9792986639871962
16,0.000815048124483529,0.003,0.02854904769836516,0.02856333293703662,0.0,0.00023131136065919708,1.5419963399837298e-06,8.772631811990873e-07,0.0,0.9792707517943047
17,0.0008207198846420991,0.003,0.02864820910008336,0.02866254395667222,0.0,0.0002312827688810445,1.541585774951102e-06,8.772669111521545e-07,0.0,0.9785625737169894
18,0.0008092082211823102,0.003,0.028446585404619484,0.02846081937368866,0.0,0.00023061496629578452,1.5417078844351897e-06,8.77271855966406e-07,0.0,0.9777532138540378
19,0.0008103096297889965,0.003,0.028465938062691636,0.028480181715353152,0.0,0.00022985524276883347,1.5425704449769424e-06,8.772779192973366e-07,0.0,0.9775400550436225
20,0.0008476661317845302,0.003,0.02911470645197252,0.02912927473231974,0.0,0.00022965713088364824,1.5440067772124842e-06,8.772839073543502e-07,0.0,0.9783440397806233
21,0.0008922645572539082,0.003,0.029870797733805306,0.02988574434356416,0.0,0.00023041425359058608,1.5456360799091647e-06,8.772881917022712e-07,0.0,0.9800537205460844
22,0.0009032132044430494,0.003,0.03005350569306432,0.03006854372537543,0.0,0.00023202765290046383,1.5470785309126242e-06,8.77289886525388e-07,0.0,0.9820703717200826
23,0.0008742350372528121,0.003,0.02956746585781088,0.029582260687787406,0.0,0.0002339405082422412,1.5481095388001468e-06,8.77289242927225e-07,0.0,0.9835930739587779
24,0.0008298270159173062,0.003,0.02880671824275209,0.02882113241340279,0.0,0.0002353920152556435,1.5486634101127428e-06,8.772871471091016e-07,0.0,0.9840128792484502
25,0.0008021084998602221,0.003,0.028321520083855353,0.028335691473325538,0.0,0.0002357926289484613,1.5487753643185846e-06,8.772845378942548e-07,0.0,0.9832224347970937
26,0.0008070992680394177,0.003,0.028409492569199783,0.028423707977929837,0.0,0.00023503609822182297,1.5486239534721896e-06,8.772821913740916e-07,0.0,0.9816224653855056
27,0.0008304210069115368,0.003,0.028817026337072615,0.028831445665639235,0.0,0.00023351155388137576,1.5485435280671123e-06,8.772808499484197e-07,0.0,0.9798448904362911
28,0.0008432536625647231,0.003,0.029038830254759285,0.02905336056853059,0.0,0.00023182694482138468,1.548794985582058e-06,8.772809348604865e-07,0.0,0.9784264124519861
29,0.0008357822857760734,0.003,0.028909899442510576,0.02892436524248638,0.0,0.0002304894510688063,1.5494080391902946e-06,8.77282135254425e-07,0.0,0.9776514994523277
30,0.0008237241470787089,0.003,0.028700594890676202,0.028714955959821414,0.0,0.00022976144017521346,1.5503228114265623e-06,8.772838736405619e-07,0.0,0.9775931815606841
31,0.0008276373588829227,0.003,0.02876868712477027,0.028783082265588414,0.0,0.00022970696441470555,1.5513927409409672e-06,8.772855103025376e-07,0.0,0.978302682040689
32,0.0008586354699878502,0.003,0.029302482317848946,0.029317144556603787,0.0,0.00023037348923471144,1.5523593005620658e-06,8.772861016186878e-07,0.0,0.9799848152535238
33,0.0009120062083078182,0.003,0.03019944052971542,0.030214551584216064,0.0,0.00023195901364083768,1.5531424557807286e-06,8.772849368963543e-07,0.0,0.9828264175799347
34,0.0009581675784531651,0.003,0.03095428206974223,0.03096977082831456,0.0,0.00023465596497205878,1.5540112790023603e-06,8.772823982267814e-07,0.0,0.9865094606977403
35,0.0009613840206101563,0.003,0.03100619326215581,0.03102170799580728,0.0,0.00023818680227097306,1.5553017174954318e-06,8.772795735422679e-07,0.0,0.9899558286672467
36,0.0009156246790656376,0.003,0.030259290789204522,0.03027443179129748,0.0,0.0002415272835666423,1.5570753333519726e-06,8.772773623503924e-07,0.0,0.9917386369080421
37,0.0008447346210628336,0.003,0.029064318692562426,0.02907886176011877,0.0,0.00024326993724539344,1.5590906991925537e-06,8.772761817759848e-07,0.0,0.9910171380302485
38,0.0007840879441640397,0.003,0.02800157038746291,0.02801558168200369,0.0,0.00024256557707426422,1.5610297843497886e-06,8.772761598757349e-07,0.0,0.9881717928030718
39,0.000768506497677282,0.003,0.027721949745234047,0.027735821124508515,0.0,0.00023979813229122094,1.5626986656657143e-06,8.772772210786534e-07,0.0,0.9845624560930163
40,0.0008039346410433752,0.003,0.028353741217754233,0.02836792872988437,0.0,0.0002363207724592328,1.564018233535594e-06,8.772790402109273e-07,0.0,0.9817760946250497
41,0.0008504216348988477,0.003,0.029161989556593146,0.029176581496238627,0.0,0.00023366150532473984,1.565032901797063e-06,8.772812353202484e-07,0.0,0.9807585000394514
42,0.0008588794282716652,0.003,0.029306644780180233,0.02932130910172846,0.0,0.0002326950311763991,1.5659129141207964e-06,8.772836119061722e-07,0.0,0.9813563960600965
43,0.0008206827024399839,0.003,0.028647560148117045,0.028661894679986363,0.0,0.00023326072200626538,1.566789942533835e-06,8.772861212199559e-07,0.0,0.9826720790207027
44,0.0007722053414383336,0.003,0.027788582933253966,0.027802487654130733,0.0,0.0002345109579918796,1.5676145803833146e-06,8.772885523286114e-07,0.0,0.9839419917478248
45,0.0007699292610880127,0.003,0.0277475991950297,0.027761483408655623,0.0,0.00023572294647670967,1.5682470788918634e-06,8.77290316973564e-07,0.0,0.9852613063142925
46,0.0008490017394957914,0.003,0.029137634418322147,0.029152214171257698,0.0,0.00023698752394265415,1.5687682727297788e-06,8.772910817635696e-07,0.0,0.9873965065816753
47,0.0009647269827726007,0.003,0.031060054455403014,0.0310755961398659,0.0,0.00023904527995077324,1.5695895907184041e-06,8.772913491695833e-07,0.0,0.9906724595737223
48,0.0010168743381060658,0.003,0.03188846716457324,0.03190442336630459,0.0,0.00024222860896715447,1.5710869071739703e-06,8.77291971420757e-07,0.0,0.9941110849324648
49,0.0009698463567403363,0.003,0.031142356313232568,0.03115793917951331,0.0,0.000245604492909781,1.5732196875938853e-06,8.772933162481684e-07,0.0,0.9958945839766763
50,0.0008684653824737638,0.003,0.029469736722165737,0.02948448265089545,0.0,0.00024737021865069934,1.5755517365832494e-06,8.772951269687099e-07,0.0,0.9948431647871664
51,0.0007770208535742615,0.003,0.027875093785927636,0.027889041794699365,0.0,0.00024633066177848396,1.5776040759472003e-06,8.772970782491274e-07,0.0,0.9914510044918738
52,0.0007529911524088204,0.003,0.027440684255477677,0.027454414896444734,0.0,0.0002429951894319735,1.5791866139917552e-06,8.772991144031434e-07,0.0,0.9874893166310982
53,0.0008076477985984432,0.003,0.028419144930811047,0.02843336516934456,0.0,0.0002391417738678423,1.5803665740388833e-06,8.773013252063159e-07,0.0,0.9848568737808888
