iteration,loss,learning_rate,vacf_rmse,full_vacf_rmse,regularization,memory_second_diff,filter_first_diff,filter_second_diff,filter_tail,filter_norm
30,0.013557765089815661,0.003,0.11643781640779623,0.11649607901659996,0.0,0.0001448189668507012,6.062009831971562e-07,2.8981479404760944e-07,0.0,0.8780945509977715
31,0.013531343110871905,0.003,0.11632430146307307,0.11638250727180084,0.0,0.00014930379708796013,6.217495561458024e-07,2.8986322031513576e-07,0.0,0.8845984195604281
32,0.013490286763139129,0.003,0.11614769374868848,0.11620581118727592,0.0,0.0001537853918221918,6.377427392667417e-07,2.899119334127717e-07,0.0,0.8908732085092791
33,0.013429228465407679,0.003,0.11588454800105008,0.11594253376800175,0.0,0.00015820481388675926,6.540087247235548e-07,2.8995946947369673e-07,0.0,0.8968502679948729
34,0.013350634274468075,0.003,0.11554494482437591,0.11560276066228183,0.0,0.00016250330813567343,6.703472243498666e-07,2.9000435217037474e-07,0.0,0.9024575055351257
35,0.01325493037114121,0.003,0.1151300585040293,0.11518766674306291,0.0,0.00016661582611018008,6.865392099650761e-07,2.9004526417444236e-07,0.0,0.9076281244502346
36,0.013136864949787287,0.003,0.11461616356250669,0.1146735146611982,0.0,0.00017047785122455204,7.023742716651392e-07,2.900812628501435e-07,0.0,0.9123175928840459
37,0.012989740686514158,0.003,0.11397254356429078,0.11402957261142435,0.0,0.00017403932601978286,7.176816348017287e-07,2.901119228616568e-07,0.0,0.9165143249251819
38,0.012810839776050706,0.003,0.11318498034655794,0.11324161531650014,0.0,0.00017727485036179226,7.323468558465142e-07,2.9013732089776286e-07,0.0,0.9202404169159328
39,0.012603128594297896,0.003,0.11226365660487768,0.11231983056716446,0.0,0.00018018639327746294,7.463110853249819e-07,2.901578975513841e-07,0.0,0.9235477971030683
40,0.012373964111147235,0.003,0.111238321234848,0.11129398214462831,0.0,0.0001828018631944525,7.59562064189349e-07,2.9017429159707264e-07,0.0,0.9265143859581185
41,0.012133305837062748,0.003,0.1101512861344013,0.11020640311865323,0.0,0.00018517298217017299,7.72125083854136e-07,2.9018721253919844e-07,0.0,0.9292402239410671
42,0.011892270188654212,0.003,0.10905168585883582,0.10910625263025593,0.0,0.00018737261963115874,7.840556408093291e-07,2.9019736654975606e-07,0.0,0.9318416262483665
43,0.01166154130627065,0.003,0.10798861655874036,0.10804265139652693,0.0,0.00018949023707442954,7.954321308394596e-07,2.90205423045903e-07,0.0,0.9344426155608172
44,0.011449396149890332,0.003,0.10700185115169893,0.10705539223643631,0.0,0.0001916249733790169,8.063474552675704e-07,2.9021200358877394e-07,0.0,0.9371645050577643
45,0.011259841586431027,0.003,0.10611240071938353,0.10616549674508266,0.0,0.00019387715433886787,8.168998480918452e-07,2.9021767856648474e-07,0.0,0.940115075187037
46,0.011091638139234722,0.003,0.10531684641706056,0.10536954436702685,0.0,0.0001963394031007532,8.271837726470023e-07,2.902229623538505e-07,0.0,0.9433785601659159
47,0.0109387229875007,0.003,0.10458835015192036,0.10464068358034011,0.0,0.00019908824030258725,8.372815314067723e-07,2.9022830226280267e-07,0.0,0.9470073329378342
48,0.010792041727306306,0.003,0.10388475214056347,0.10393673350590822,0.0,0.00020217670699981637,8.472560095089177e-07,2.9023406096109746e-07,0.0,0.9510160484787958
49,0.010642285930140712,0.003,0.10316145564182735,0.10321307508746032,0.0,0.00020562842909294693,8.571450364814378e-07,2.9024049620222137e-07,0.0,0.9553789562825931
50,0.010482657776158255,0.003,0.10238485130212503,0.10243608215411863,0.0,0.00020943361104356454,8.669580111724578e-07,2.9024774453682366e-07,0.0,0.9600309034032064
51,0.010310701217745582,0.003,0.10154162308012209,0.10159243200153034,0.0,0.00021354750594247123,8.766753831624678e-07,2.9025581568638523e-07,0.0,0.9648721420604729
52,0.01012856508482702,0.003,0.10064077247729679,0.10069113063530291,0.0,0.00021789182703063796,8.86251229450466e-07,2.902646012803721e-07,0.0,0.9697765351486101
53,0.009941705286314498,0.003,0.09970810040470382,0.0997579918766299,0.0,0.00022235932913190092,8.956186802580231e-07,2.902738974169347e-07,0.0,0.9746022869493987
54,0.009756667854885707,0.003,0.09877584651566246,0.09882527151075723,0.0,0.00022682144617184046,9.046975550206418e-07,2.902834372638571e-07,0.0,0.9792040168943467
55,0.009578882738768705,0.003,0.09787176681131646,0.09792073942724637,0.0,0.0002311384659022862,9.13403339366346e-07,2.9029292861589705e-07,0.0,0.9834448550042896
56,0.009411233939881164,0.003,0.09701151447060892,0.0970600566375048,0.0,0.00023517129093343902,9.21656498659996e-07,2.903020913501644e-07,0.0,0.9872072568316849
57,0.009253720841280098,0.003,0.09619626209619632,0.09624439633093035,0.0,0.00023879345367727988,9.293910355539021e-07,2.903106901581518e-07,0.0,0.9904014204039469
58,0.009104061555722244,0.003,0.09541520610323202,0.09546294951682929,0.0,0.0002419018546652908,9.365612168482173e-07,2.9031855859540633e-07,0.0,0.9929705404241508
59,0.008958810358624192,0.003,0.09465099238055664,0.0946983534004734,0.0,0.0002444248029533873,9.431456178496384e-07,2.90325611751128e-07,0.0,0.994892607013358
60,0.00881451934999535,0.003,0.09388567169699193,0.09393264976933227,0.0,0.0002463263762881471,9.49148075103476e-07,2.9033184684909e-07,0.0,0.9961789424051517
61,0.008668605178229288,0.003,0.0931053445202223,0.09315193213610751,0.0,0.00024760677264661193,9.54595685379827e-07,2.903373333629699e-07,0.0,0.9968700557628125
62,0.008519776636220219,0.003,0.09230263612822885,0.09234882208865135,0.0,0.00024829899773659906,9.595344635102273e-07,2.9034219594319163e-07,0.0,0.9970296175670054
63,0.008368047586557108,0.003,0.09147703310972163,0.09152280595877552,0.0,0.00024846274715215375,9.640235453794057e-07,2.9034659405040093e-07,0.0,0.9967374103356959
64,0.008214457890762385,0.003,0.09063364657103004,0.09067899741028082,0.0,0.00024817660628693484,9.68128870256349e-07,2.9035070170183435e-07,0.0,0.9960820451403983
